nc_057744.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_35_asm401019v2_29154	Sto-Mir-10-P2a_pre	96.552	58	2	0	1	58	1	58	3.00e-24	97.1
nc_057744.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_35_asm401019v2_29154	Sto-Mir-10-P2b_pre	100.000	20	0	0	1	20	1	20	1.85e-06	38.1
nc_057744.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_35_asm401019v2_29154	Sto-Mir-10-P2c_pre	95.455	22	1	0	1	22	1	22	6.64e-06	36.2
nc_057744.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_35_asm401019v2_29154	Sto-Mir-10-P1a-v2_pre	91.667	24	1	1	2	24	1	24	8.59e-05	32.5
nc_057744.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_35_asm401019v2_29154	Sto-Mir-10-P1a-v1_pre	91.667	24	1	1	2	24	2	25	8.59e-05	32.5
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-1-P2_pre	95.082	61	3	0	1	61	1	61	3.20e-24	97.1
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-1-P2_pre	86.957	23	2	1	38	59	23	1	0.015	25.1
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-1-P2_pre	86.957	23	2	1	1	23	59	38	0.015	25.1
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-1-P1_pre	90.164	61	6	0	1	61	1	61	3.22e-19	80.5
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-1-P1_pre	75.410	61	11	4	1	59	59	1	0.004	27.0
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-1-P4_pre	81.667	60	10	1	1	60	1	59	9.09e-10	49.1
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-1-P4_pre	86.957	23	2	1	1	23	58	37	0.015	25.1
nc_057713.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_4_asm401019v2_5173	Sto-Mir-455_pre	100.000	11	0	0	12	22	56	46	0.20	21.4
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-1-P1_pre	100.000	61	0	0	1	61	1	61	3.18e-29	113
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-1-P1_pre	78.125	64	4	7	1	59	59	1	9.15e-05	32.5
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-1-P2_pre	93.548	62	2	2	1	61	1	61	1.49e-22	91.6
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-1-P2_pre	86.957	23	2	1	38	59	23	1	0.015	25.1
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-1-P2_pre	86.957	23	2	1	1	23	59	38	0.015	25.1
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-1-P4_pre	88.333	60	6	1	1	60	1	59	1.94e-16	71.3
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-1-P4_pre	86.957	23	2	1	1	23	58	37	0.015	25.1
nc_057729.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_20_asm401019v2_21186	Sto-Mir-455_pre	100.000	11	0	0	12	22	56	46	0.20	21.4
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Mir-7-P1_pre	95.238	63	1	1	1	61	1	63	8.90e-25	99.0
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Mir-7-P3_pre	84.615	65	6	1	1	61	1	65	1.17e-13	62.1
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Mir-7-P2_pre	85.965	57	5	3	1	55	1	56	1.51e-12	58.4
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Mir-338-P2_pre	100.000	13	0	0	10	22	47	59	0.015	25.1
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Mir-338-P1_pre	100.000	13	0	0	10	22	47	59	0.015	25.1
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Mir-92-P1d_pre	94.118	17	0	1	23	39	22	37	0.015	25.1
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Mir-22-P1a_pre	100.000	11	0	0	21	31	37	27	0.20	21.4
nw_025211944.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_unplaced_genomic_scaffold_asm401019v2_scaf_1600_35257	Sto-Let-7-P2b2_pre	100.000	11	0	0	9	19	29	39	0.20	21.4
nc_057745.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_36_asm401019v2_29887	Sto-Mir-7-P2_pre	91.667	60	5	0	1	60	1	60	2.44e-20	84.2
nc_057745.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_36_asm401019v2_29887	Sto-Mir-7-P1_pre	86.885	61	5	3	1	59	1	60	8.84e-15	65.8
nc_057745.1_chiloscyllium_plagiosum_isolate_bgi_bamshark_2017_chromosome_36_asm401019v2_29887	Sto-Mir-7-P3_pre	82.258	62	8	2	1	59	1	62	2.48e-10	51.0
